"Owner.Sales.Role.Region","Is.Deal.Registration","Billing.Country","Cloud.Data.Platform","Cloud.Provider","Stage","Opportunity.Record.Type","Plan.Type","Lead.Source","Opportunity.ARR","Amount..ACV..Currency","Amount..ACV.","Created.Date","Close.Date","Age","Days.in.Free.Trial","Days.in.Current.Stage","Free.Trial.","Trial.End.Date","Loss.Reason","Opportunity.Source","year"
"EAE - NA Central",0,"United States","Snowflake","AWS","8 - Closed Won","Renewal + Expansion","Contract","Sales Prospecting",62286,"USD",8570,"4/6/2022","4/29/2022",23,NA,20,1,"4/29/2022","","Sales","2022"
"EAE - RoW EMEA/APAC",1,"Finland","","","6 - Deal Review","Renewal","Contract","Organic",NA,"USD",0,"2/15/2022","5/31/2022",93,NA,4,0,"","","Inbound SDR/Marketing","2022"
"Other",0,"United Kingdom","BigQuery","","7 - Closed Lost","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"4/28/2022","5/3/2022",5,NA,16,0,"","Not a fit","Outbound SDR","2022"
"CAE - RoW",0,"United Kingdom","","","7 - Closed Lost","New Logo","","Sales Prospecting",NA,"",NA,"2/10/2022","3/31/2022",49,NA,49,0,"","Unable to contact","Sales","2022"
"CAE - NA Northeast",1,"United States","Snowflake","AWS","2 - Trial","New Logo","PayGo","Consulting Partner",NA,"USD",15000,"4/7/2022","6/29/2022",42,NA,15,1,"5/20/2022","","Partner","2022"
"EAE - NA West",0,"United States","","","7 - Closed Lost","New Logo","","Sales Prospecting",NA,"",NA,"2/8/2022","3/28/2022",48,NA,52,0,"","Staying with Incumbent Solution","Outbound SDR","2022"
"CAM - NA",0,"United States","","","8 - Closed Won","Renewal + Expansion","Contract","Techno-company Data Loader",23635,"USD",18712.8,"4/6/2022","4/30/2022",24,NA,20,0,"","","Inbound SDR/Marketing","2022"
"EAE - NA Central",1,"United States","Evaluating CDP","","7 - Closed Lost","New Logo","","Consulting Partner",NA,"USD",23000,"2/8/2022","3/7/2022",27,NA,73,0,"","Change in Project Scope","Partner","2022"
"Other",0,"India","Evaluating CDP","","0 - Discovery","Unspecified Opportunity","","Paid",NA,"",NA,"4/6/2022","4/30/2022",43,NA,NA,0,"","","Inbound SDR/Marketing","2022"
"EAE - NA West",0,"United States","Redshift","","7 - Closed Lost","Renewal + Expansion","","Sales Prospecting",NA,"USD",25451,"2/4/2022","2/22/2022",18,NA,86,0,"","Change in Project Scope","Sales","2022"
"Other",0,"United States","Snowflake","","0 - Discovery","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"4/6/2022","4/30/2022",43,NA,NA,0,"","","Outbound SDR","2022"
"EAE - NA West",0,"United States","Snowflake","AWS","7 - Closed Lost","New Logo","","Sales Prospecting",NA,"USD",30000,"2/18/2022","5/16/2022",87,NA,3,0,"","Staying with Incumbent Solution","Outbound SDR","2022"
"CAE - NA Northwest",0,"Peru","BigQuery","GCP","1 - Identified","New Logo","PayGo","Website",8092,"USD",13000,"4/6/2022","6/24/2022",43,NA,NA,1,"5/6/2022","","Sales","2022"
"EAE - RoW UK",0,"Germany","Snowflake","","7 - Closed Lost","New Logo","","Organic",NA,"USD",50000,"3/8/2022","3/10/2022",2,NA,70,0,"","Duplicate","Inbound SDR/Marketing","2022"
"Other",0,"Belgium","Snowflake","Azure","8 - Closed Won","Demo/Test License","","Consulting Partner",NA,"",NA,"2/2/2022","2/10/2022",8,NA,86,1,"5/1/2022","","Partner","2022"
"CAE - RoW",0,"France","Snowflake","Azure","2 - Trial","New Logo","","Organic",313,"USD",20000,"4/6/2022","5/31/2022",43,NA,35,1,"4/11/2022","","Inbound SDR/Marketing","2022"
"CAE - NA Northwest",0,"United States","BigQuery","GCP","8 - Closed Won","New Logo","PayGo","Marketplace",1543,"USD",500,"3/7/2022","3/31/2022",24,NA,49,1,"3/15/2022","","Inbound SDR/Marketing","2022"
"Other",0,"United States","Snowflake","AWS","7 - Closed Lost","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"4/19/2022","4/29/2022",10,NA,20,0,"","Duplicate","Outbound SDR","2022"
"Other",0,"United States","Snowflake","","7 - Closed Lost","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"4/6/2022","4/28/2022",22,NA,21,0,"","Lost Champion","Outbound SDR","2022"
"EAE - RoW EMEA/APAC",0,"Netherlands","","","1 - Identified","New Logo","","Sales Prospecting",NA,"USD",30000,"2/15/2022","7/31/2022",93,NA,85,0,"","","Outbound SDR","2022"
"Other",0,"France","Evaluating CDP","","0 - Discovery","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"4/7/2022","4/30/2022",42,NA,NA,0,"","","Outbound SDR","2022"
"EAE - NA Central",1,"United States","Evaluating CDP","","1 - Identified","New Logo","","Consulting Partner",NA,"USD",23500,"3/2/2022","6/30/2022",78,NA,NA,0,"","","Partner","2022"
"CAE - NA Northwest",0,"Peru","BigQuery","GCP","2 - Trial","New Logo","PayGo","Organic",NA,"USD",21000,"4/6/2022","7/29/2022",43,NA,13,0,"","","Inbound SDR/Marketing","2022"
"CAE - RoW",0,"United Kingdom","Snowflake","AWS","7 - Closed Lost","New Logo","","Marketplace",NA,"USD",5000,"1/27/2022","5/12/2022",105,NA,7,0,"","Change in Project Scope","Inbound SDR/Marketing","2022"
"CAE - NA Northwest",0,"United States","Snowflake","AWS","7 - Closed Lost","New Logo","PayGo","Drift",NA,"USD",5000,"4/5/2022","5/12/2022",37,NA,7,0,"","Org Structure Changes","Inbound SDR/Marketing","2022"
"EAE - NA East",1,"United States","Synapse","","1 - Identified","New Logo","","Paid",NA,"USD",50000,"1/25/2022","5/31/2022",114,NA,101,0,"","","Inbound SDR/Marketing","2022"
"Other",0,"Switzerland","","","0 - Discovery","Unspecified Opportunity","","Event",NA,"",NA,"4/6/2022","4/30/2022",43,NA,NA,0,"","","Outbound SDR","2022"
"EAE - NA East",0,"United States","Snowflake","AWS","1 - Identified","New Logo","","Sales Prospecting",NA,"USD",30000,"4/19/2022","10/28/2022",30,NA,28,0,"","","Outbound SDR","2022"
"EAE - RoW EMEA/APAC",0,"Sweden","Snowflake","Azure","1 - Identified","New Logo","","Sales Prospecting",NA,"USD",60000,"4/6/2022","6/30/2022",43,NA,NA,0,"","","Sales","2022"
"CAE - RoW",1,"New Zealand","Snowflake","Azure","7 - Closed Lost","New Logo","","Organic",NA,"USD",1000,"3/9/2022","4/1/2022",23,NA,49,1,"3/21/2022","Change in Project Scope","Inbound SDR/Marketing","2022"
"Other",0,"United Kingdom","","","0 - Discovery","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"2/22/2022","4/30/2022",86,NA,NA,0,"","","Outbound SDR","2022"
"CAE - RoW",1,"Belgium","Snowflake","","1 - Identified","New Logo","PayGo","Consulting Partner",NA,"USD",1000,"3/8/2022","6/16/2022",72,NA,NA,0,"","","Partner","2022"
"EAE - RoW UK",0,"Switzerland","","","1 - Identified","Services","","Sales Prospecting",NA,"USD",18125,"4/6/2022","5/31/2022",43,NA,NA,0,"","","Sales","2022"
"Other",0,"United Kingdom","","","0 - Discovery","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"2/11/2022","4/30/2022",97,NA,NA,0,"","","Outbound SDR","2022"
"CAE - RoW",0,"France","Snowflake","AWS","7 - Closed Lost","New Logo","PayGo","Website",NA,"USD",2000,"4/7/2022","4/8/2022",1,NA,41,0,"","Duplicate","Sales","2022"
"EAE - RoW EMEA/APAC",0,"Belgium","Snowflake","Azure","1 - Identified","New Logo","","Sales Prospecting",NA,"USD",33000,"4/19/2022","7/31/2022",30,NA,22,0,"","","Outbound SDR","2022"
"CAE - RoW",0,"Japan","Redshift","AWS","8 - Closed Won","New Logo","Contract","Organic",16200,"USD",16198.7,"4/7/2022","4/26/2022",19,NA,23,1,"4/21/2022","","Inbound SDR/Marketing","2022"
"EAE - NA Central",0,"United States","Synapse","","7 - Closed Lost","New Logo","","Sales Prospecting",NA,"USD",19000,"1/20/2022","2/9/2022",20,NA,99,0,"","Duplicate","Outbound SDR","2022"
"CAE - NA Central",0,"United States","Evaluating CDP","","0 - Discovery","New Logo","PayGo","Paid",NA,"USD",10000,"4/6/2022","7/1/2022",43,NA,NA,0,"","","Inbound SDR/Marketing","2022"
"EAE - NA West",0,"United States","Snowflake","AWS","1 - Identified","New Logo","Contract","Sales Prospecting",NA,"USD",33000,"3/10/2022","7/22/2022",70,NA,58,0,"","","Outbound SDR","2022"
"Other",0,"Switzerland","Snowflake","","7 - Closed Lost","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"4/7/2022","4/13/2022",6,NA,36,0,"","Not a fit","Outbound SDR","2022"
"EAE - NA East",0,"Canada","","","7 - Closed Lost","New Logo","","Sales Prospecting",NA,"",NA,"2/4/2022","4/11/2022",66,NA,38,0,"","Timing","Outbound SDR","2022"
"CAE - RoW",1,"United Kingdom","Snowflake","Azure","3 - Champion Confirmed","New Logo","PayGo","Organic",NA,"USD",5000,"4/6/2022","6/24/2022",43,NA,8,1,"4/19/2022","","Inbound SDR/Marketing","2022"
"Other",0,"United States","Snowflake","","0 - Discovery","Unspecified Opportunity","","Paid",NA,"",NA,"3/8/2022","4/30/2022",72,NA,NA,0,"","","Inbound SDR/Marketing","2022"
"EAE - NA Central",0,"Canada","Evaluating CDP","","1 - Identified","New Logo","","Event",NA,"USD",33000,"4/6/2022","10/24/2022",43,NA,38,0,"","","Inbound SDR/Marketing","2022"
"EAE - NA Central",0,"United States","Snowflake","AWS","3 - Champion Confirmed","New Logo","PayGo","Organic",NA,"USD",33000,"2/3/2022","8/29/2022",105,NA,50,1,"4/6/2022","","Inbound SDR/Marketing","2022"
"EAE - RoW EMEA/APAC",0,"Germany","Redshift","AWS","2 - Trial","New Logo","PayGo","Sales Prospecting",NA,"USD",25000,"2/23/2022","7/29/2022",85,NA,66,0,"","","Sales","2022"
"CAE - RoW",1,"Finland","Databricks","","1 - Identified","New Logo","","Paid",NA,"USD",1000,"4/6/2022","6/1/2022",43,NA,NA,0,"","","Inbound SDR/Marketing","2022"
"CAE - NA Central",0,"United States","Redshift","","1 - Identified","New Logo","PayGo","Sales Prospecting",NA,"USD",5000,"1/26/2022","5/31/2022",113,NA,101,0,"","","Sales","2022"
"EAE - RoW EMEA/APAC",0,"New Zealand","","","7 - Closed Lost","Renewal","Contract","",NA,"USD",0,"5/9/2022","5/16/2022",7,NA,3,0,"","Duplicate","Sales","2022"
"CAE - RoW",0,"India","Snowflake","AWS","7 - Closed Lost","New Logo","","Organic",NA,"USD",3000,"1/19/2022","3/15/2022",54,NA,65,1,"1/20/2022","Unable to contact","Inbound SDR/Marketing","2022"
"CAE - RoW",0,"United Kingdom","Redshift","AWS","8 - Closed Won","New Logo","PayGo","Organic",2938,"USD",1000,"4/6/2022","4/22/2022",16,NA,27,1,"4/19/2022","","Inbound SDR/Marketing","2022"
"",0,"United States","","","8 - Closed Won","Demo/Test License","","",NA,"",NA,"4/19/2022","5/5/2022",16,NA,14,1,"4/19/2023","","","2022"
"EAE - RoW UK",0,"United States","Redshift","","7 - Closed Lost","New Logo","","Event",NA,"USD",50000,"2/11/2022","2/18/2022",7,NA,90,0,"","Staying with Incumbent Solution","Inbound SDR/Marketing","2022"
"Other",0,"United Kingdom","Databricks","","0 - Discovery","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"4/7/2022","4/30/2022",42,NA,NA,0,"","","Outbound SDR","2022"
"Other",0,"United Kingdom","Synapse","","0 - Discovery","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"3/9/2022","4/30/2022",71,NA,NA,0,"","","Outbound SDR","2022"
"EAE - NA East",0,"United States","Databricks","AWS","1 - Identified","New Logo","","Organic",NA,"USD",35000,"4/6/2022","8/17/2022",43,NA,42,0,"","","Inbound SDR/Marketing","2022"
"Other",0,"United States","Synapse","","7 - Closed Lost","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"2/10/2022","4/28/2022",77,NA,21,0,"","Unable to contact","Outbound SDR","2022"
"EAE - NA East",0,"United States","Redshift","AWS","1 - Identified","New Logo","","Organic",23476,"USD",35000,"4/7/2022","7/14/2022",42,NA,37,1,"4/19/2022","","Inbound SDR/Marketing","2022"
"Other",0,"Netherlands","Evaluating CDP","","0 - Discovery","Unspecified Opportunity","","Paid",NA,"",NA,"3/30/2022","4/30/2022",50,NA,NA,0,"","","Inbound SDR/Marketing","2022"
"Other",0,"United States","","","7 - Closed Lost","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"4/6/2022","4/26/2022",20,NA,23,0,"","Lost Champion","Outbound SDR","2022"
"EAE - NA East",1,"United States","Synapse","","7 - Closed Lost","New Logo","","Consulting Partner",NA,"USD",30000,"3/30/2022","4/7/2022",8,NA,42,0,"","Missing Features","Partner","2022"
"EAE - NA Central",1,"United States","Snowflake","","1 - Identified","New Logo","","Consulting Partner",NA,"USD",23500,"4/7/2022","6/30/2022",42,NA,NA,0,"","","Partner","2022"
"Other",0,"Canada","","","7 - Closed Lost","Unspecified Opportunity","","Paid",NA,"",NA,"2/10/2022","3/30/2022",48,NA,50,0,"","Unable to contact","Inbound SDR/Marketing","2022"
"Other",0,"United States","","","0 - Discovery","Unspecified Opportunity","","List Import",NA,"",NA,"4/6/2022","4/30/2022",43,NA,NA,0,"","","Inbound SDR/Marketing","2022"
"CAE - RoW",0,"United Kingdom","","","7 - Closed Lost","Expansion","Contract","Techno-company Data Loader",NA,"USD",20000,"1/20/2022","4/29/2022",99,NA,21,0,"","Duplicate","Inbound SDR/Marketing","2022"
"Other",0,"United Kingdom","","AWS","0 - Discovery","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"4/6/2022","4/30/2022",43,NA,NA,0,"","","Outbound SDR","2022"
"EAE - NA West",0,"United States","Snowflake","AWS","7 - Closed Lost","New Logo","","Sales Prospecting",NA,"USD",25000,"1/26/2022","4/15/2022",79,NA,34,0,"","Unable to contact","Inbound SDR/Marketing","2022"
"EAE - NA Central",0,"Canada","Snowflake","","7 - Closed Lost","New Logo","","Sales Prospecting",NA,"USD",43000,"4/7/2022","5/4/2022",27,NA,15,0,"","Unable to contact","Outbound SDR","2022"
"Other",1,"Australia","","","1 - Identified","Reseller Opportunity","","Sales Prospecting",NA,"USD",1e+05,"2/4/2022","7/31/2022",104,NA,101,0,"","","Sales","2022"
"Other",0,"Canada","","","0 - Discovery","Unspecified Opportunity","","Paid",NA,"",NA,"4/6/2022","6/1/2022",43,NA,NA,0,"","","Inbound SDR/Marketing","2022"
"EAE - NA East",1,"United States","Snowflake","AWS","8 - Closed Won","New Logo","Contract","Consulting Partner",16820,"USD",16820.16,"1/20/2022","3/14/2022",53,NA,66,1,"3/14/2022","","Partner","2022"
"Other",0,"United States","Snowflake","","0 - Discovery","Unspecified Opportunity","","Paid",NA,"",NA,"4/6/2022","4/30/2022",43,NA,NA,0,"","","Inbound SDR/Marketing","2022"
"EAE - NA Central",0,"United States","Databricks","","7 - Closed Lost","Unspecified Opportunity","","List Import",NA,"",NA,"2/8/2022","3/10/2022",30,NA,70,0,"","Timing","Inbound SDR/Marketing","2022"
"Other",0,"United States","","","0 - Discovery","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"4/7/2022","4/30/2022",42,NA,NA,0,"","","Outbound SDR","2022"
"Other",0,"United States","Snowflake","","7 - Closed Lost","Unspecified Opportunity","","Paid",NA,"",NA,"2/17/2022","4/8/2022",50,NA,41,0,"","Lost Champion","Inbound SDR/Marketing","2022"
"CAE - RoW",0,"Germany","Snowflake","AWS","1 - Identified","New Logo","PayGo","Sales Prospecting",NA,"USD",1000,"3/30/2022","6/30/2022",50,NA,NA,0,"","","Sales","2022"
"CAE - RoW",0,"United States","Snowflake","AWS","7 - Closed Lost","Unspecified Opportunity","","Organic",NA,"",NA,"4/7/2022","4/7/2022",0,NA,43,1,"4/11/2022","Unable to contact","Inbound SDR/Marketing","2022"
"CAE - RoW",0,"United States","Redshift","AWS","7 - Closed Lost","New Logo","","Organic",NA,"USD",3000,"2/11/2022","4/6/2022",54,NA,43,1,"2/23/2022","Change in Project Scope","Inbound SDR/Marketing","2022"
"CAE - RoW",0,"United Kingdom","Snowflake","Azure","2 - Trial","New Logo","PayGo","Event",NA,"USD",1000,"4/7/2022","5/27/2022",42,NA,NA,1,"4/14/2022","","Inbound SDR/Marketing","2022"
"EAE - RoW EMEA/APAC",1,"Singapore","Snowflake","","1 - Identified","New Logo","","Event",NA,"USD",30000,"3/30/2022","7/30/2022",50,NA,48,0,"","","Inbound SDR/Marketing","2022"
"Other",0,"United States","Snowflake","","0 - Discovery","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"4/6/2022","4/30/2022",43,NA,NA,0,"","","Outbound SDR","2022"
"Other",0,"France","","","0 - Discovery","Unspecified Opportunity","","Drift",NA,"",NA,"3/30/2022","4/30/2022",50,NA,NA,0,"","","Inbound SDR/Marketing","2022"
"Other",0,"United States","Snowflake","","0 - Discovery","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"4/7/2022","4/30/2022",42,NA,NA,0,"","","Outbound SDR","2022"
"CAE - RoW",0,"Germany","Redshift","AWS","1 - Identified","New Logo","PayGo","Organic",NA,"USD",28000,"2/18/2022","5/31/2022",90,NA,NA,0,"","","Inbound SDR/Marketing","2022"
"Other",0,"United Kingdom","","","1 - Identified","Demo/Test License","","",NA,"",NA,"4/7/2022","4/7/2022",42,NA,NA,0,"","","","2022"
"EAE - RoW UK",1,"United Kingdom","Evaluating CDP","","7 - Closed Lost","New Logo","","Consulting Partner",NA,"USD",5000,"2/24/2022","4/13/2022",48,NA,36,0,"","Unable to contact","Partner","2022"
"Other",0,"United States","Snowflake","","0 - Discovery","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"4/7/2022","4/30/2022",42,NA,NA,0,"","","Outbound SDR","2022"
"EAE - NA West",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Organic",NA,"USD",10000,"1/25/2022","2/1/2022",7,NA,101,0,"","Change in Project Scope","Inbound SDR/Marketing","2022"
"Other",0,"United States","","","7 - Closed Lost","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"4/6/2022","4/26/2022",20,NA,23,0,"","Lost Champion","Outbound SDR","2022"
"EAE - RoW UK",1,"United Kingdom","Snowflake","Azure","7 - Closed Lost","New Logo","Contract","Sales Prospecting",NA,"USD",22000,"2/3/2022","3/16/2022",41,NA,64,1,"2/10/2022","Staying with Incumbent Solution","Sales","2022"
"EAE - NA Central",0,"United States","BigQuery","GCP","1 - Identified","New Logo","","Sales Prospecting",NA,"USD",23500,"4/7/2022","7/29/2022",42,NA,41,0,"","","Outbound SDR","2022"
"EAE - NA Central",0,"United States","Databricks","Azure","1 - Identified","New Logo","","Sales Prospecting",NA,"USD",33000,"2/25/2022","7/28/2022",83,NA,50,0,"","","Inbound SDR/Marketing","2022"
"EAE - NA Central",0,"United States","Databricks","","7 - Closed Lost","New Logo","","Event",NA,"",NA,"1/28/2022","4/22/2022",84,NA,27,0,"","Duplicate","Inbound SDR/Marketing","2022"
"CAE - RoW",0,"France","","","1 - Identified","New Logo","","AzurePortal-Create|Techno-company ETL",NA,"USD",1000,"4/14/2022","5/31/2022",35,NA,NA,0,"","","Inbound SDR/Marketing","2022"
"EAE - RoW UK",0,"Ireland","Redshift","AWS","2 - Trial","New Logo","Contract","Paid",0,"USD",150000,"1/20/2022","10/31/2022",119,NA,76,1,"3/3/2022","","Inbound SDR/Marketing","2022"
"EAE - RoW EMEA/APAC",0,"United States","Redshift","AWS","1 - Identified","Expansion","","Organic",NA,"USD",10000,"4/14/2022","8/31/2022",35,NA,NA,0,"","","Inbound SDR/Marketing","2022"
"CAE - RoW",0,"France","Snowflake","Azure","7 - Closed Lost","New Logo","","Organic",NA,"USD",5000,"1/25/2022","3/31/2022",65,NA,49,1,"1/26/2022","Unable to contact","Inbound SDR/Marketing","2022"
"Other",0,"United States","Snowflake","AWS","7 - Closed Lost","Unspecified Opportunity","","Event",NA,"",NA,"4/12/2022","4/29/2022",17,NA,20,0,"","Duplicate","Outbound SDR","2022"
"Other",1,"United States","Snowflake","","7 - Closed Lost","Unspecified Opportunity","","Consulting Partner",NA,"",NA,"1/21/2022","2/16/2022",26,NA,92,0,"","Not a fit","Partner","2022"
"Other",0,"United States","","","8 - Closed Won","Demo/Test License","","",NA,"",NA,"4/13/2022","4/13/2022",0,NA,36,0,"","","","2022"
"EAE - RoW EMEA/APAC",0,"Germany","Synapse","Azure","1 - Identified","New Logo","","Event",NA,"USD",12000,"3/10/2022","12/30/2022",70,NA,64,0,"","","Inbound SDR/Marketing","2022"
"CAE - RoW",0,"United Kingdom","Snowflake","Azure","1 - Identified","New Logo","Contract","Referral",NA,"USD",28000,"4/13/2022","7/29/2022",36,NA,NA,0,"","","Sales","2022"
"CAE - NA Central",0,"United States","Snowflake","AWS","2 - Trial","New Logo","PayGo","Organic",NA,"USD",2500,"3/8/2022","5/31/2022",72,NA,66,0,"","","Inbound SDR/Marketing","2022"
"EAE - NA East",0,"United States","Snowflake","AWS","1 - Identified","New Logo","Contract","List Import",NA,"USD",51000,"4/12/2022","9/19/2022",37,NA,27,0,"","","Inbound SDR/Marketing","2022"
"Other",0,"United States","Snowflake","","7 - Closed Lost","Unspecified Opportunity","","Paid",NA,"",NA,"3/8/2022","5/18/2022",71,NA,1,0,"","Unable to contact","Inbound SDR/Marketing","2022"
"CAE - RoW",0,"Australia","","AWS","1 - Identified","New Logo","","Sales Prospecting",NA,"USD",5000,"4/13/2022","6/30/2022",36,NA,NA,0,"","","Sales","2022"
"CAE - NA Northeast",0,"United States","Databricks","Azure","7 - Closed Lost","New Logo","","Organic",NA,"USD",10000,"1/31/2022","5/16/2022",105,NA,3,0,"","Unable to contact","Inbound SDR/Marketing","2022"
"Other",0,"South Africa","","","1 - Identified","Demo/Test License","","",NA,"",NA,"4/13/2022","4/13/2022",36,NA,NA,0,"","","","2022"
"EAE - NA West",0,"United States","Databricks","","1 - Identified","New Logo","","Sales Prospecting",NA,"USD",30000,"2/23/2022","10/31/2022",85,NA,83,0,"","","Outbound SDR","2022"
"Other",0,"Ireland","","","0 - Discovery","Unspecified Opportunity","","Paid",NA,"",NA,"4/13/2022","4/30/2022",36,NA,NA,0,"","","Inbound SDR/Marketing","2022"
"CAE - RoW",0,"United States","","","7 - Closed Lost","New Logo","","Event",NA,"USD",5000,"3/7/2022","3/15/2022",8,NA,65,0,"","Timing","Inbound SDR/Marketing","2022"
"Other",0,"United States","Databricks","","7 - Closed Lost","Unspecified Opportunity","","Paid",NA,"",NA,"4/13/2022","4/14/2022",1,NA,35,0,"","Org Structure Changes","Inbound SDR/Marketing","2022"
"CAE - RoW",0,"United Kingdom","Redshift","AWS","1 - Identified","New Logo","","Organic",NA,"USD",40000,"4/21/2022","7/29/2022",28,NA,NA,0,"","","Inbound SDR/Marketing","2022"
"EAE - RoW EMEA/APAC",0,"Australia","Redshift","","1 - Identified","New Logo","Contract","Drift",NA,"USD",80592,"4/13/2022","7/25/2022",36,NA,NA,0,"","","Inbound SDR/Marketing","2022"
"CAE - NA Northeast",0,"United States","","","1 - Identified","New Logo","","Sales Prospecting",NA,"USD",10000,"4/12/2022","7/27/2022",37,NA,NA,0,"","","Sales","2022"
"CAE - NA Central",0,"United States","Snowflake","AWS","3 - Champion Confirmed","New Logo","Contract","Techno-company Data Loader",NA,"USD",40481.4,"2/1/2022","5/31/2022",107,NA,42,1,"5/19/2022","","Inbound SDR/Marketing","2022"
"CAE - NA Southeast",1,"United States","Snowflake","AWS","1 - Identified","New Logo","","Sales Prospecting",NA,"USD",10000,"4/13/2022","7/31/2022",36,NA,NA,0,"","","Sales","2022"
"Other",0,"United States","Snowflake","","7 - Closed Lost","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"2/10/2022","4/8/2022",57,NA,41,0,"","Lost Champion","Outbound SDR","2022"
"EAE - NA Central",0,"United States","Evaluating CDP","GCP","1 - Identified","New Logo","","Paid",NA,"USD",10000,"4/13/2022","7/30/2022",36,NA,29,0,"","","Outbound SDR","2022"
"EAE - RoW UK",0,"United Kingdom","Snowflake","Azure","1 - Identified","Services","","Organic",NA,"USD",8000,"2/11/2022","3/30/2022",97,NA,NA,0,"","","Sales","2022"
"CAE - RoW",0,"United States","Snowflake","AWS","7 - Closed Lost","New Logo","Contract","Organic",NA,"USD",13000,"4/13/2022","5/17/2022",34,NA,3,0,"","Lost to Competitor","Inbound SDR/Marketing","2022"
"Other",0,"United States","Snowflake","","7 - Closed Lost","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"3/30/2022","5/3/2022",34,NA,16,0,"","Not a fit","Outbound SDR","2022"
"Other",0,"United Kingdom","Snowflake","","0 - Discovery","Unspecified Opportunity","","Marketplace",NA,"",NA,"4/13/2022","4/30/2022",36,NA,NA,0,"","","Inbound SDR/Marketing","2022"
"EAE - RoW EMEA/APAC",0,"Australia","","","1 - Identified","New Logo","","Sales Prospecting",NA,"USD",50000,"2/16/2022","12/29/2022",92,NA,NA,0,"","","Sales","2022"
"Other",0,"United States","","","0 - Discovery","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"4/13/2022","4/30/2022",36,NA,NA,0,"","","Outbound SDR","2022"
"EAE - NA Central",0,"United States","Snowflake","Azure","7 - Closed Lost","New Logo","Contract","Paid",NA,"USD",53000,"1/27/2022","4/13/2022",76,NA,36,0,"","Duplicate","Outbound SDR","2022"
"CAE - RoW",0,"Egypt","","","1 - Identified","New Logo","","Sales Prospecting",NA,"USD",40000,"4/13/2022","12/31/2022",36,NA,NA,0,"","","Sales","2022"
"CAE - RoW",0,"Sweden","Snowflake","Azure","8 - Closed Won","Expansion","PayGo","Drift",22369,"USD",15000,"3/11/2022","4/11/2022",31,NA,38,1,"3/23/2022","","Inbound SDR/Marketing","2022"
"Other",0,"France","Evaluating CDP","","0 - Discovery","Unspecified Opportunity","","Paid",NA,"",NA,"4/13/2022","4/30/2022",36,NA,NA,0,"","","Inbound SDR/Marketing","2022"
"EAE - RoW EMEA/APAC",1,"Denmark","Evaluating CDP","AWS","1 - Identified","New Logo","","Organic",NA,"USD",30000,"2/14/2022","7/31/2022",94,NA,83,0,"","","Inbound SDR/Marketing","2022"
"CAE - NA Central",0,"United States","Redshift","AWS","2 - Trial","New Logo","PayGo","Techno-company Data Loader",0,"USD",10000,"4/13/2022","5/20/2022",36,NA,27,1,"4/14/2022","","Inbound SDR/Marketing","2022"
"EAE - NA East",0,"United States","","","7 - Closed Lost","New Logo","","Sales Prospecting",NA,"",NA,"2/4/2022","3/14/2022",38,NA,66,0,"","Timing","Outbound SDR","2022"
"CAE - RoW",0,"New Zealand","Redshift","AWS","2 - Trial","New Logo","PayGo","Organic",782,"USD",10000,"4/13/2022","5/20/2022",36,NA,36,1,"4/20/2022","","Inbound SDR/Marketing","2022"
"EAE - NA West",0,"United States","Snowflake","","7 - Closed Lost","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"2/7/2022","3/30/2022",51,NA,50,0,"","Unable to contact","Outbound SDR","2022"
"CAE - RoW",0,"Netherlands","Snowflake","Azure","2 - Trial","Expansion","","Consulting Partner",NA,"USD",2000,"4/14/2022","5/31/2022",35,NA,NA,0,"","","Sales","2022"
"EAE - NA East",0,"United States","Redshift","AWS","8 - Closed Won","Expansion","PayGo","Organic",12113,"USD",13579.2,"3/7/2022","5/9/2022",63,NA,10,1,"3/16/2022","","Inbound SDR/Marketing","2022"
"EAE - RoW EMEA/APAC",1,"Germany","Snowflake","","2 - Trial","New Logo","","Organic",NA,"USD",10000,"4/12/2022","9/30/2022",37,NA,37,0,"","","","2022"
